run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
405.43,386.36,360.105,404.283,372.197,420.285,387.017,389.01,404.941,428.929,403.134,408.811,361.578,391.906,381.827,354.275,392.3,411.096,373.6,384.657,413.01,350.431,422.378,422.177,393.833,349.057,385.494,304.584,398.913,392.38,388.467
335.362,301.787,360.105,332.885,347.994,370.794,351.655,377.502,373.64,390.543,383.89,358.472,325.901,388.838,309.421,345.711,362.261,370.44,345.546,376.002,345.412,350.431,340.928,388.843,346.746,349.057,369.47,304.584,350.581,348.554,353.445
335.362,301.787,360.105,332.885,332.086,345.145,351.655,361.063,329.834,358.435,358.541,343.546,325.901,336.234,309.421,297.575,344.622,353.864,323.945,369.251,345.412,350.431,340.928,355.009,316.103,349.057,350.213,304.584,322.518,348.554,338.469
314.441,301.787,323.415,294.381,311.921,305.965,299.733,304.045,309.944,303.3,299.948,290.891,307.606,318.132,309.421,297.575,326.057,331.786,323.945,322.074,277.967,321.018,288.815,278.785,291.108,322.165,290.97,304.584,311.303,269.239,305.077
292.421,301.787,317.083,291.954,297.175,296.124,297.77,292.681,245.14,303.3,299.948,290.891,295.299,282.027,277.638,279.675,294.393,249.586,273.819,277.504,277.967,301.284,288.815,277.743,291.108,283.42,290.97,293.677,260.317,269.239,286.359
264.418,289.833,241.008,291.954,297.175,262.436,266.091,280.611,245.14,298.93,253.858,290.891,271.657,240.596,277.638,263.949,254.711,249.586,273.819,275.16,277.967,268.597,271.493,277.743,291.108,283.42,290.97,293.677,260.317,226.512,271.042
242.76,272.855,241.008,279.032,253,261.82,224.471,230.258,245.14,247.014,253.858,274.142,247.468,230.827,235.76,211.6,252.586,215.998,266.97,255.2,260.912,257.974,271.493,255.722,285.101,266.031,282.793,284.402,259.92,226.512,253.088
242.76,263.088,241.008,238.195,231.646,250.365,224.471,230.258,245.14,247.014,253.858,274.142,233.669,230.827,235.76,211.6,250.706,215.998,242.348,255.2,260.912,237.904,271.493,238.697,276.745,240.515,265.946,261.958,259.92,221.763,245.13
231.647,248.557,241.008,230.572,229.525,250.365,224.471,228.056,233.749,204.046,211.264,237.946,233.669,217.106,229.936,211.6,228.089,215.998,236.587,224.89,247.037,229.017,256.608,231.508,204.054,219.297,199.857,246.279,229.517,221.763,228.467
231.647,248.557,241.008,230.572,202.533,245.658,224.471,228.056,233.749,204.046,207.696,233.998,233.669,217.106,228.038,211.6,228.089,215.998,185.51,224.89,247.037,229.017,227.132,220.97,204.054,219.297,199.857,225.137,229.517,221.763,223.356
