run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
143.327,139.606,146.731,146.856,141.774,149.326,143.148,138.176,139.09,135.877,147.699,155.742,117.86,127.538,148.54,126.695,155.538,120.38,129.668,112.507,113.357,128.651,111.804,144.958,106.189,156.727,136.313,138.719,144.648,128.515,135.865
118.78,109.942,124.94,116.941,117.658,115.398,110.697,106.631,109.574,109.72,116.694,125.06,97.3219,102.688,123.13,101.826,126.617,101.321,115.459,84.6868,89.8947,112.067,92.4262,119.567,87.5003,124.099,109.118,114.191,121.26,105.36,110.352
95.5566,83.6346,99.9491,89.439,98.0815,92.746,87.3525,77.6951,88.399,91.392,91.5633,95.6584,77.8811,81.7643,96.7449,76.9009,98.1633,79.1184,91.3559,66.3146,75.1075,84.3669,67.1216,97.3099,77.2687,96.7281,86.5884,89.628,94.6039,88.5086,87.2314
74.8823,60.6502,73.8294,69.6394,74.1029,74.6607,69.7235,55.8801,64.0917,65.6003,69.8678,76.5169,58.3648,61.9705,73.1914,61.4269,74.7401,61.3182,69.2062,57.5043,62.7782,60.6574,51.8774,72.0007,63.2939,72.3103,63.9785,67.5617,72.9917,65.3806,66.6666
55.4936,46.1003,54.2723,54.9824,52.5222,52.9086,56.7064,50.4033,49.3714,50.8586,52.5693,55.202,40.1776,48.8039,61.0929,46.1668,53.0666,38.409,52.977,45.7599,51.3719,42.0665,39.771,58.375,47.497,52.438,46.7303,49.9157,52.1904,45.5126,50.1237
39.4399,34.0821,39.2855,35.6604,37.3868,31.1623,43.228,33.0256,34.255,37.9308,42.0957,32.7204,31.2802,37.0481,38.6583,33.3075,36.45,26.5494,36.9888,32.3034,36.922,28.27,31.7806,41.0805,39.6621,34.4228,34.3659,34.1474,37.6917,28.6399,35.328
25.8869,22.5944,27.0937,21.3229,22.0305,19.7946,30.9787,22.7089,20.5647,25.8287,28.8251,19.6417,19.4757,25.6679,29.0534,22.4534,22.1231,23.8645,25.862,22.2636,26.2142,22.6933,23.9773,27.5006,28.5026,23.7505,22.0228,23.4104,25.8519,17.7656,23.9908
14.5037,13.9967,16.8437,13.7277,11.5568,13.985,18.4309,14.2583,13.2803,13.98,19.3294,13.2643,13.3709,18.5052,19.0448,13.148,18.037,16.0146,15.2164,13.6309,16.073,13.4072,14.7685,17.8937,20.8403,16.6191,14.6948,14.2148,17.4927,13.3791,15.4503
7.32559,10.6227,9.84609,10.1812,6.8448,11.0428,10.1742,7.54503,8.68912,8.11382,12.6984,8.88257,8.55638,10.8364,9.62735,8.96972,10.5445,9.61541,9.6011,8.00716,10.7978,6.79747,10.5126,9.24301,12.0913,8.55307,10.0231,8.46323,8.32368,6.82397,9.31178
4.44595,5.50005,6.38483,6.42084,5.87202,6.95221,6.78472,4.21765,4.92442,4.57151,5.89027,5.41469,4.487,5.9285,5.1428,3.96002,5.92749,5.40939,4.14428,4.59135,5.78813,4.40068,5.80846,5.69867,5.98469,5.91291,3.74021,5.48537,5.90508,3.15347,5.29492
2.85223,4.00131,3.47408,3.78397,2.38301,3.72438,2.89525,2.59522,2.40275,2.82193,3.04197,2.52554,2.38667,3.60089,2.14438,2.76148,3.07722,3.80495,3.10491,2.88181,3.98129,1.75471,3.30482,2.95501,3.92928,2.98679,2.27026,3.80848,3.45031,2.57068,3.04252
1.70901,2.50385,1.2626,1.72807,1.78811,2.36177,2.4274,2.20007,2.40275,2.68575,2.14784,2.01656,1.49025,3.57106,1.20652,1.74765,2.09608,2.65487,1.75085,1.82799,3.03193,1.41775,2.44733,2.31452,1.93768,2.30175,1.62767,1.64164,3.44242,1.9775,2.12397
1.70901,2.0518,1.2626,1.66946,1.78811,2.36177,1.91177,1.68992,1.52064,1.74617,1.87677,1.86516,1.49025,3.25889,1.20652,1.47225,1.862,2.65487,1.75085,1.82361,2.66615,1.0628,1.80346,2.31066,1.87842,2.23372,1.62767,1.64164,2.33679,1.91726,1.8817
1.39314,2.0518,1.10213,1.13639,1.70376,1.85136,1.57513,1.68992,1.06364,1.74617,1.50039,1.86516,1.24687,2.17307,0.943706,1.47225,1.83606,2.28839,1.57598,1.39072,2.14184,1.0628,1.34997,1.61268,1.448,2.02964,1.47729,1.64164,2.1552,1.21007,1.59117
