run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,average
18715.4,7016.5,17620.1,26706.4,25049.7,28306.7,18170.2,16550.2,4484.9,25757.5,18662.2,10212.9,21633.5,19784,5863.17,7492.77,22716.2,24516.1,8192.65,19446.7,34063.7,29222.5,16162.3,41035.3,18260.3,20757.6,12498.2,6148.15,10481.3,7854.63,18112.7
10611.3,4563.22,11902,20051,14117.6,17620.1,15062.8,9069.78,4484.9,18803.1,18457.4,7645.56,21633.5,17084.5,5863.17,6380.61,15835.8,19193.6,4438.11,11450.7,19905.3,19215.3,9780.7,27588.3,11370.4,15365.9,8752.62,5874.72,10481.3,3789.68,12879.8
5863.56,3785.3,8519.95,11845.2,7078.48,12180.4,7731.26,5225.53,4484.9,9883.43,10348.1,3283.83,17098.3,11523.6,4724.12,4497.58,12907.4,10602.8,2934.98,5764.91,9906.41,11313.6,4676.86,15988.7,7071.57,8832.97,4285.99,2964.77,5709.62,2818.92,7795.1
3694.52,3785.3,3912.33,6473.81,2676.41,9277.91,3831.57,2767.23,4484.9,4668.49,5242.31,1620.09,8015.99,5992.33,2490.19,3453.68,7377.09,4942.33,2934.98,2670.66,5792.93,5826.52,2164.56,10273.8,4283.39,5351.44,1892.07,1434.06,3287.06,2320.42,4431.28
1875.31,1996.33,1746.57,2913.12,877.255,4408.8,2027.51,1272.1,4484.9,2247.16,3019.81,902.408,3519.69,3991.66,1533.65,1933.89,4372.24,2108.69,1429.91,2021.28,3781.21,2670.49,890.46,5462.67,3459.65,2620.93,606.921,1116.25,1529.23,2320.42,2438.02
840.456,973.329,1055.7,1359.33,260.298,2009.59,804.054,413.839,1988.27,1249.55,1961.97,484.354,1510.32,1885.44,440.164,719.09,2132.23,892.876,590.829,1315.55,1472.73,1361.85,358.448,2755.63,2146.95,1147.9,246.629,1096.83,600.452,1668.79,1191.45
419.367,332.568,467.948,880.805,223.133,732.98,242.367,413.839,701.249,538.643,925.775,429.881,836.438,741.959,269.991,465.459,822.193,575.458,379.442,554.912,744.121,836.253,153.003,893.535,1287.45,648.751,246.629,529.849,330.515,815.805,581.344
260.643,149.849,324.385,455.764,82.9689,453.719,214.453,255.229,301.357,300.562,556.352,157.446,419.037,302.665,225.926,465.459,524.451,213.902,259.141,145.881,470.228,450.026,134.811,258.664,651.251,199.872,91.0154,186.115,238.542,334.939,302.822
140.832,62.4274,142.181,134.511,74.9587,199.186,101.694,138.344,98.5466,190.896,191.183,94.1256,112.143,200.521,56.1713,217.821,270.966,66.1359,150.995,145.881,121.64,240.174,89.1337,135.138,219.967,133.936,71.3924,81.0546,195.197,184.293,142.048
123.22,62.4274,98.8522,51.7395,44.8154,78.6013,95.1031,67.1742,60.6858,90.6279,76.865,44.8345,75.0754,61.3815,21.3922,217.821,95.9674,49.7157,116.551,50.805,81.9266,83.942,89.1337,118.793,120.216,70.5782,67.0993,79.8872,79.1882,60.695,81.1705
45.4805,50.3706,58.0415,35.4949,34.2294,55.2949,83.9378,23.8019,38.1512,72.4255,64.2913,21.453,30.0346,27.2908,21.3922,130.716,48.2875,36.8513,75.7183,39.2429,27.6215,43.4283,41.0706,84.3833,57.9171,65.2536,45.1514,49.9305,36.6672,29.7265,49.1219
35.9364,34.6204,18.1745,35.4949,19.249,23.8625,30.9315,23.8019,25.0453,24.9453,35.4627,15.9046,28.5576,27.2908,21.3922,85.4726,33.0057,22.9175,39.8098,18.946,24.9601,43.4283,22.9019,38.25,26.4054,17.9476,32.3114,18.1438,26.2564,29.7265,29.3718
